sample success SP-Score Modeler SPFN SPFP Compression Compression TC s h:m:s max_rss max_vms max_uss max_pss io_in io_out mean_load cpu_time
oxidored_q6_100_1 1 0.9356589147286821 0.9374757281553399 0.06434108527131788 0.06252427184466014 (naive) 1.0 0.8458646616541353 251.7273 0:04:11 5855.80 123732.91 5468.26 5653.38 1.99 3.64 177.67 511.47
oxidored_q6_200_2 1 0.975968992248062 0.9801479174776178 0.024031007751938005 0.01985208252238224 (naive) 1.0105263157894737 0.9210526315789473 203.8014 0:03:23 6188.45 123604.64 5799.88 5985.36 1.99 3.84 171.32 436.97
ltn_100_3 1 0.9452901998097051 0.9452901998097051 0.05470980019029492 0.05470980019029492 (naive) 1.0 0.7786561264822134 262.5508 0:04:22 6230.33 123545.84 5839.32 5933.65 1.99 4.30 192.62 584.48
DEATH_50_1 1 0.8642297650130548 0.8624283480979676 0.13577023498694518 0.13757165190203235 (naive) 1.0062893081761006 0.532258064516129 220.5917 0:03:40 5442.57 123604.61 5054.46 5239.74 1.99 3.54 163.99 456.06
kunitz_50_3 1 0.95009900990099 0.95009900990099 0.049900990099009945 0.049900990099009945 (naive) 1.0 0.7666666666666667 171.7865 0:02:51 5296.24 123537.84 4907.53 5001.75 1.99 3.67 169.35 386.40
uce_100_1 1 0.9012855831037649 0.8921105253590257 0.09871441689623506 0.10788947464097431 (naive) 0.9945652173913043 0.5180722891566265 200.9541 0:03:20 5752.50 123607.10 5364.50 5461.89 1.99 3.70 195.65 469.13
ghf13_100_3 1 0.6054825876069541 0.5881730107469956 0.39451741239304594 0.4118269892530044 (naive) 0.9488817891373802 0.24108658743633277 408.1394 0:06:48 7229.40 123536.34 6840.83 6967.79 1.99 3.71 185.11 857.09
Sulfotransfer_50_2 1 0.6425887265135699 0.6510152284263959 0.3574112734864301 0.3489847715736041 (naive) 1.005249343832021 0.3141891891891892 383.1047 0:06:23 6108.53 123545.84 6074.33 6081.25 1.99 3.81 218.67 935.31
tRNA-synt_2b_1000_0 1 0.5241605241605242 0.5055292259083728 0.47583947583947583 0.4944707740916272 (naive) 0.9400428265524625 0.26453488372093026 256.4611 0:04:16 7472.54 123603.13 7084.25 7178.38 1.99 6.26 149.58 448.48
uce_50_2 1 0.9278236914600551 0.9128195862318186 0.07217630853994494 0.08718041376818142 (naive) 0.9728260869565217 0.6024096385542169 233.4415 0:03:53 5601.00 123537.86 5212.67 5325.84 1.99 4.23 181.81 517.19
ghf10_1000_3 1 0.9369733737782272 0.9410968178740691 0.0630266262217728 0.05890318212593093 (naive) 1.032967032967033 0.8142414860681114 511.5673 0:08:31 7329.57 123667.31 6942.58 7046.79 1.98 6.70 298.71 1591.62
kunitz_500_0 1 0.9928712871287129 0.9928712871287129 0.007128712871287135 0.007128712871287135 (naive) 1.0 0.9666666666666667 132.5705 0:02:12 5911.32 123546.00 5523.33 5620.30 1.98 4.79 119.15 190.00
sodcu_50_1 1 0.8820816864295126 0.883245382585752 0.11791831357048743 0.11675461741424797 (naive) 1.0 0.6867469879518072 229.0484 0:03:49 5628.46 123597.88 5240.51 5335.91 1.99 4.01 163.33 453.86
ltn_200_2 1 0.9359793394046486 0.9334417785007456 0.06402066059535139 0.06655822149925439 (naive) 1.00711743772242 0.7312252964426877 252.0262 0:04:12 6586.33 123536.18 6560.23 6566.47 1.99 4.08 134.04 389.46
aadh_200_2 1 0.8265863302579551 0.8408350890633978 0.17341366974204486 0.15916491093660223 (naive) 1.051660516605166 0.48072562358276644 303.9426 0:05:03 7216.54 123671.24 6829.02 7014.35 1.99 4.34 187.16 655.25
tms_50_2 1 0.9149751053236308 0.9107891727030119 0.0850248946763692 0.08921082729698815 (naive) 0.9971988795518207 0.7403508771929824 357.9012 0:05:57 6162.24 123601.76 5774.23 5959.54 1.99 3.66 206.49 816.08
biotin_lipoyl_50_2 1 0.8933250155957579 0.8888888888888888 0.10667498440424206 0.11111111111111116 (naive) 1.0 0.6235294117647059 184.8512 0:03:04 5365.11 123665.90 4977.39 5073.77 1.99 3.66 152.75 352.47
msb_500_1 1 0.8622773536895675 0.8653048196616662 0.13772264631043252 0.13469518033833383 (naive) 1.0 0.6068965517241379 153.7193 0:02:33 6469.30 123540.84 6081.19 6266.24 1.98 4.74 147.01 273.33
DMRL_synthase_100_3 1 0.9255972696245733 0.8998009289980093 0.07440273037542666 0.10019907100199066 (naive) 0.9615384615384616 0.7455621301775148 198.4567 0:03:18 5716.43 123600.56 5327.89 5453.33 1.99 3.50 151.97 414.65
cys_200_0 1 0.9373010041636052 0.9292782128331208 0.06269899583639482 0.07072178716687916 (naive) 1.0212014134275618 0.6828358208955224 237.0309 0:03:57 6595.02 123536.29 6207.46 6302.95 1.99 4.46 174.08 505.39
tms_50_0 1 0.8808885484488702 0.872865275142315 0.11911145155112979 0.12713472485768496 (naive) 0.9775910364145658 0.6842105263157895 349.3230 0:05:49 6235.93 123543.20 5847.33 5968.27 1.99 3.95 208.25 797.43
DEATH_100_2 1 0.8527415143603133 0.8518518518518519 0.1472584856396867 0.14814814814814814 (naive) 1.0062893081761006 0.5887096774193549 178.4640 0:02:58 5571.07 123600.11 5182.73 5279.36 1.99 3.57 167.73 356.89
ghf5_20_2 1 0.12484670100564141 0.12360369111219038 0.8751532989943586 0.8763963088878096 (naive) 0.9893617021276596 0.0 551.3114 0:09:11 6073.65 123540.62 6047.86 6054.11 1.99 3.41 229.65 1340.87
ghf1_20_0 1 0.8579392195648264 0.8670604270786006 0.14206078043517356 0.13293957292139935 (naive) 1.0498220640569396 0.5904572564612326 684.2952 0:11:24 6775.80 123537.82 6748.37 6753.77 1.99 3.59 228.84 1642.93
hormone_rec_100_3 1 0.719506624029237 0.7034390352836087 0.28049337597076296 0.29656096471639126 (naive) 0.987012987012987 0.4804270462633452 258.4821 0:04:18 6110.58 123601.79 5722.52 5822.32 1.99 3.68 187.26 543.38
