sample success SP-Score Modeler SPFN SPFP Compression Compression TC s h:m:s max_rss max_vms max_uss max_pss io_in io_out mean_load cpu_time
cytb_500_3 1 0.8118234804329725 0.8200168208578638 0.18817651956702752 0.17998317914213624 (naive) 1.03 0.5434782608695652 176.3278 0:02:56 6549.29 123592.79 6205.99 6369.54 1.98 6.47 137.53 305.52
uce_20_3 1 0.8305785123966942 0.817220816769064 0.16942148760330578 0.182779183230936 (naive) 0.9891304347826086 0.29518072289156627 334.3756 0:05:34 6867.71 111321.77 6522.52 6629.82 9.99 5.06 164.11 551.98
sodfe_20_0 1 0.8244260444109899 0.8227230046948357 0.17557395558901012 0.17727699530516428 (naive) 1.0456621004566211 0.45454545454545453 348.3858 0:05:48 6696.73 123527.59 6352.25 6515.89 1.99 5.18 170.05 719.82
blm_500_1 1 0.8775226165622826 0.8854093526190142 0.12247738343771741 0.11459064738098579 (naive) 1.0364963503649636 0.6704119850187266 329.8776 0:05:29 8637.20 123528.78 8293.39 8403.24 1.98 8.03 165.55 580.05
asp_20_3 1 0.8321123812590565 0.8325144974226805 0.1678876187409435 0.16748550257731953 (naive) 1.0078947368421052 0.48663101604278075 501.5358 0:08:21 8595.12 123597.23 8250.39 8363.46 1.99 5.28 192.32 1049.70
lyase_1_50_0 1 0.5298765432098765 0.5543787135107208 0.47012345679012346 0.44562128648927923 (naive) 1.0704500978473581 0.2286282306163022 410.8342 0:06:50 8100.73 123462.23 7756.46 7867.25 1.99 5.74 186.66 847.93
phc_500_1 1 0.8817153628652215 0.9009920061639218 0.11828463713477855 0.09900799383607817 (naive) 1.0670391061452513 0.659217877094972 173.0993 0:02:53 6594.74 123532.91 6251.04 6360.78 1.99 6.00 180.25 391.26
ghf5_500_3 1 0.6193279372087319 0.6358599848904558 0.3806720627912681 0.3641400151095442 (naive) 1.1085106382978724 0.3161953727506427 323.1858 0:05:23 8266.34 123535.64 7922.02 8086.31 1.98 8.50 230.09 823.84
DEATH_500_0 1 0.7503916449086162 0.7615262321144675 0.2496083550913838 0.23847376788553254 (naive) 1.050314465408805 0.4435483870967742 172.4127 0:02:52 6518.04 123592.73 6175.30 6258.36 1.98 6.35 152.00 292.13
tms_200_2 1 0.9563385675986212 0.9534173348606338 0.043661432401378764 0.04658266513936615 (naive) 1.0 0.8421052631578947 244.3226 0:04:04 8043.20 123527.62 7697.62 7807.84 1.99 5.96 159.61 498.73
tgfb_1000_2 1 0.8481012658227848 0.8553191489361702 0.15189873417721522 0.14468085106382977 (naive) 0.9915254237288136 0.452991452991453 181.4420 0:03:01 6744.48 123464.88 6399.60 6484.81 1.98 6.93 124.95 314.74
ghf1_200_1 1 0.891566265060241 0.8983511505707555 0.10843373493975905 0.10164884942924446 (naive) 1.0409252669039146 0.6739562624254473 357.5307 0:05:57 10114.01 123724.89 9769.12 9932.76 1.99 6.98 179.01 695.91
aldosered_100_1 1 0.9220152976388427 0.939034716342083 0.07798470236115729 0.06096528365791698 (naive) 1.0233160621761659 0.7384615384615385 332.5957 0:05:32 8209.23 112689.01 7864.29 7974.15 45.99 5.49 165.13 553.95
